transaction_id,transaction_type,qtty,price
T0001,sell,4.11,324.6
T0002,buy,64.0,51.23
T0003,sell,32.12,89.2
T0004,sell,51.35,450.29
T0005,buy,90.85,307.15
T0006,sell,25.68,14.51
T0007,sell,41.63,59.72
T0008,buy,75.8,335.12
T0009,buy,23.65,12.48
T0010,buy,8.62,88.8
T0011,buy,29.69,278.88
T0012,buy,16.96,349.03
T0013,buy,93.04,329.46
T0014,sell,81.0,119.89
T0015,buy,63.71,358.97
T0016,sell,87.27,126.25
T0017,sell,80.56,169.45
T0018,sell,19.47,375.78
T0019,sell,89.36,328.32
T0020,sell,54.39,426.12
T0021,sell,80.94,332.23
T0022,buy,89.71,288.47
T0023,sell,32.48,55.9
T0024,buy,11.9,190.18
T0025,sell,23.57,139.95
T0026,sell,43.28,129.55
T0027,buy,81.98,486.78
T0028,buy,86.21,202.62
T0029,buy,1.69,447.1
T0030,buy,51.56,319.26
T0031,sell,42.32,399.46
T0032,sell,22.99,256.29
T0033,sell,12.87,292.68
T0034,buy,34.42,251.33
T0035,sell,94.35,105.67
T0036,buy,33.0,364.0
T0037,sell,52.36,147.58
T0038,sell,70.6,21.91
T0039,buy,37.0,326.28
T0040,buy,97.21,96.78
T0041,buy,96.28,470.82
T0042,sell,25.93,477.43
T0043,buy,50.23,458.28
T0044,buy,30.79,191.38
T0045,sell,29.2,17.57
T0046,sell,4.65,464.88
T0047,buy,61.35,219.81
T0048,sell,50.77,483.66
T0049,sell,6.1,482.17
T0050,buy,28.59,427.97
T0051,buy,90.92,154.28
T0052,buy,24.72,198.7
T0053,sell,15.34,427.06
T0054,buy,49.46,165.29
T0055,buy,98.58,93.05
T0056,buy,24.96,282.83
T0057,sell,67.54,468.72
T0058,sell,76.4,351.05
T0059,buy,24.53,289.33
T0060,buy,73.09,57.62
T0061,sell,37.41,311.35
T0062,sell,63.6,495.13
T0063,buy,63.72,78.64
T0064,sell,54.04,263.98
T0065,sell,9.94,439.91
T0066,sell,83.69,372.98
T0067,sell,32.76,351.54
T0068,sell,19.47,354.22
T0069,buy,5.04,186.15
T0070,buy,59.5,153.86
T0071,sell,68.08,406.59
T0072,buy,2.64,406.96
T0073,buy,51.7,434.87
T0074,buy,23.42,457.49
T0075,sell,64.87,260.56
T0076,sell,18.26,255.74
T0077,buy,69.4,401.16
T0078,sell,39.29,328.48
T0079,sell,93.74,353.96
T0080,buy,14.61,399.94
T0081,buy,34.77,446.1
T0082,sell,12.23,175.62
T0083,buy,92.54,194.04
T0084,buy,87.86,56.05
T0085,buy,26.54,293.36
T0086,buy,66.34,27.61
T0087,sell,81.9,238.14
T0088,buy,55.96,275.9
T0089,sell,53.44,150.41
T0090,sell,24.94,299.51
T0091,buy,10.22,24.95
T0092,sell,89.82,28.3
T0093,buy,90.14,413.07
T0094,buy,63.68,186.49
T0095,buy,34.56,72.26
T0096,sell,35.57,265.9
T0097,buy,72.87,387.3
T0098,sell,89.81,115.75
T0099,sell,88.82,315.22
T0100,sell,78.21,51.82
